city,cluster_size,clusters_count
Baiyin_China,1,585
Baiyin_China,2,0
Baiyin_China,3,0
Baiyin_China,4,0
Baiyin_China,5,0
Baiyin_China,>5,1
Barcelona_Spain,1,731
Barcelona_Spain,2,0
Barcelona_Spain,3,0
Barcelona_Spain,4,0
Barcelona_Spain,5,0
Barcelona_Spain,>5,1
Buenos_Aires_Argentina,1,739
Buenos_Aires_Argentina,2,0
Buenos_Aires_Argentina,3,0
Buenos_Aires_Argentina,4,0
Buenos_Aires_Argentina,5,0
Buenos_Aires_Argentina,>5,1
Chicago_Illinois_USA,1,759
Chicago_Illinois_USA,2,0
Chicago_Illinois_USA,3,0
Chicago_Illinois_USA,4,0
Chicago_Illinois_USA,5,0
Chicago_Illinois_USA,>5,1
Helsinki_Finland,1,501
Helsinki_Finland,2,0
Helsinki_Finland,3,0
Helsinki_Finland,4,0
Helsinki_Finland,5,0
Helsinki_Finland,>5,1
Manhattan_New_York_USA,1,772
Manhattan_New_York_USA,2,0
Manhattan_New_York_USA,3,0
Manhattan_New_York_USA,4,0
Manhattan_New_York_USA,5,0
Manhattan_New_York_USA,>5,1
Melbourne_Australia,1,802
Melbourne_Australia,2,0
Melbourne_Australia,3,0
Melbourne_Australia,4,0
Melbourne_Australia,5,0
Melbourne_Australia,>5,1
Moscow_Russia,1,680
Moscow_Russia,2,0
Moscow_Russia,3,0
Moscow_Russia,4,0
Moscow_Russia,5,0
Moscow_Russia,>5,1
Portland_Oregon_USA,1,512
Portland_Oregon_USA,2,0
Portland_Oregon_USA,3,0
Portland_Oregon_USA,4,0
Portland_Oregon_USA,5,0
Portland_Oregon_USA,>5,1
San_Francisco_California_USA,1,740
San_Francisco_California_USA,2,0
San_Francisco_California_USA,3,0
San_Francisco_California_USA,4,0
San_Francisco_California_USA,5,0
San_Francisco_California_USA,>5,1
