city,algorithm,mean,median,count
Baiyin_China,algo,0.586,0.586,1
Baiyin_China,manual,0.836,0.836,1
Barcelona_Spain,algo,0.732,0.732,1
Barcelona_Spain,manual,0.925,0.925,1
Buenos_Aires_Argentina,algo,0.74,0.74,1
Buenos_Aires_Argentina,manual,0.92,0.92,1
Chicago_Illinois_USA,algo,0.76,0.76,1
Chicago_Illinois_USA,manual,0.936,0.936,1
Helsinki_Finland,algo,0.502,0.502,1
Helsinki_Finland,manual,0.837,0.837,1
Manhattan_New_York_USA,algo,0.773,0.773,1
Manhattan_New_York_USA,manual,0.935,0.935,1
Melbourne_Australia,algo,0.803,0.803,1
Melbourne_Australia,manual,0.95,0.95,1
Moscow_Russia,algo,0.681,0.681,1
Moscow_Russia,manual,0.919,0.919,1
Portland_Oregon_USA,algo,0.513,0.513,1
Portland_Oregon_USA,manual,0.772,0.772,1
San_Francisco_California_USA,algo,0.741,0.741,1
San_Francisco_California_USA,manual,0.9,0.9,1
